location,date,vaccine,total_vaccinations
Finland,2021-01-01,Johnson&Johnson,0
Finland,2021-01-01,Moderna,42
Finland,2021-01-01,Oxford/AstraZeneca,0
Finland,2021-01-01,Pfizer/BioNTech,25
Finland,2021-01-08,Johnson&Johnson,0
Finland,2021-01-08,Moderna,190
Finland,2021-01-08,Oxford/AstraZeneca,142
Finland,2021-01-08,Pfizer/BioNTech,21039
Finland,2021-01-15,Johnson&Johnson,0
Finland,2021-01-15,Moderna,237
Finland,2021-01-15,Oxford/AstraZeneca,205
Finland,2021-01-15,Pfizer/BioNTech,61437
Finland,2021-01-22,Johnson&Johnson,0
Finland,2021-01-22,Moderna,1162
Finland,2021-01-22,Oxford/AstraZeneca,278
Finland,2021-01-22,Pfizer/BioNTech,117994
Finland,2021-01-29,Johnson&Johnson,0
Finland,2021-01-29,Moderna,3797
Finland,2021-01-29,Oxford/AstraZeneca,286
Finland,2021-01-29,Pfizer/BioNTech,171531
Finland,2021-02-05,Johnson&Johnson,0
Finland,2021-02-05,Moderna,4678
Finland,2021-02-05,Oxford/AstraZeneca,291
Finland,2021-02-05,Pfizer/BioNTech,226055
Finland,2021-02-12,Johnson&Johnson,0
Finland,2021-02-12,Moderna,5946
Finland,2021-02-12,Oxford/AstraZeneca,4207
Finland,2021-02-12,Pfizer/BioNTech,276742
Finland,2021-02-19,Johnson&Johnson,0
Finland,2021-02-19,Moderna,10527
Finland,2021-02-19,Oxford/AstraZeneca,24259
Finland,2021-02-19,Pfizer/BioNTech,336532
Finland,2021-02-26,Johnson&Johnson,0
Finland,2021-02-26,Moderna,19068
Finland,2021-02-26,Oxford/AstraZeneca,55873
Finland,2021-02-26,Pfizer/BioNTech,399012
Finland,2021-03-05,Johnson&Johnson,0
Finland,2021-03-05,Moderna,26971
Finland,2021-03-05,Oxford/AstraZeneca,95972
Finland,2021-03-05,Pfizer/BioNTech,464808
Finland,2021-03-12,Johnson&Johnson,0
Finland,2021-03-12,Moderna,38606
Finland,2021-03-12,Oxford/AstraZeneca,140310
Finland,2021-03-12,Pfizer/BioNTech,532870
Finland,2021-03-19,Johnson&Johnson,0
Finland,2021-03-19,Moderna,42404
Finland,2021-03-19,Oxford/AstraZeneca,184807
Finland,2021-03-19,Pfizer/BioNTech,612010
Finland,2021-03-26,Johnson&Johnson,0
Finland,2021-03-26,Moderna,52398
Finland,2021-03-26,Oxford/AstraZeneca,184875
Finland,2021-03-26,Pfizer/BioNTech,712337
Finland,2021-04-02,Johnson&Johnson,0
Finland,2021-04-02,Moderna,69176
Finland,2021-04-02,Oxford/AstraZeneca,202166
Finland,2021-04-02,Pfizer/BioNTech,811728
Finland,2021-04-09,Johnson&Johnson,0
Finland,2021-04-09,Moderna,81155
Finland,2021-04-09,Oxford/AstraZeneca,243031
Finland,2021-04-09,Pfizer/BioNTech,932433
Finland,2021-04-16,Johnson&Johnson,0
Finland,2021-04-16,Moderna,103177
Finland,2021-04-16,Oxford/AstraZeneca,298723
Finland,2021-04-16,Pfizer/BioNTech,1089090
Finland,2021-04-23,Johnson&Johnson,0
Finland,2021-04-23,Moderna,117821
Finland,2021-04-23,Oxford/AstraZeneca,335882
Finland,2021-04-23,Pfizer/BioNTech,1258397
Finland,2021-04-30,Johnson&Johnson,0
Finland,2021-04-30,Moderna,137317
Finland,2021-04-30,Oxford/AstraZeneca,353415
Finland,2021-04-30,Pfizer/BioNTech,1435020
Finland,2021-05-07,Johnson&Johnson,0
Finland,2021-05-07,Moderna,161700
Finland,2021-05-07,Oxford/AstraZeneca,359297
Finland,2021-05-07,Pfizer/BioNTech,1648443
Finland,2021-05-14,Johnson&Johnson,0
Finland,2021-05-14,Moderna,187753
Finland,2021-05-14,Oxford/AstraZeneca,367053
Finland,2021-05-14,Pfizer/BioNTech,1850504
Finland,2021-05-21,Johnson&Johnson,0
Finland,2021-05-21,Moderna,221552
Finland,2021-05-21,Oxford/AstraZeneca,380123
Finland,2021-05-21,Pfizer/BioNTech,2079587
Finland,2021-05-28,Johnson&Johnson,0
Finland,2021-05-28,Moderna,258056
Finland,2021-05-28,Oxford/AstraZeneca,391821
Finland,2021-05-28,Pfizer/BioNTech,2304520
Finland,2021-06-04,Johnson&Johnson,0
Finland,2021-06-04,Moderna,296227
Finland,2021-06-04,Oxford/AstraZeneca,404470
Finland,2021-06-04,Pfizer/BioNTech,2552238
Finland,2021-06-11,Johnson&Johnson,0
Finland,2021-06-11,Moderna,325187
Finland,2021-06-11,Oxford/AstraZeneca,421553
Finland,2021-06-11,Pfizer/BioNTech,2848371
Finland,2021-06-18,Johnson&Johnson,0
Finland,2021-06-18,Moderna,358043
Finland,2021-06-18,Oxford/AstraZeneca,425586
Finland,2021-06-18,Pfizer/BioNTech,3150851
Finland,2021-06-25,Johnson&Johnson,0
Finland,2021-06-25,Moderna,383263
Finland,2021-06-25,Oxford/AstraZeneca,438435
Finland,2021-06-25,Pfizer/BioNTech,3368227
Finland,2021-07-02,Johnson&Johnson,0
Finland,2021-07-02,Moderna,409219
Finland,2021-07-02,Oxford/AstraZeneca,470834
Finland,2021-07-02,Pfizer/BioNTech,3621989
Finland,2021-07-09,Johnson&Johnson,0
Finland,2021-07-09,Moderna,441079
Finland,2021-07-09,Oxford/AstraZeneca,507404
Finland,2021-07-09,Pfizer/BioNTech,3851390
Finland,2021-07-16,Johnson&Johnson,0
Finland,2021-07-16,Moderna,467022
Finland,2021-07-16,Oxford/AstraZeneca,535492
Finland,2021-07-16,Pfizer/BioNTech,4054884
Finland,2021-07-23,Johnson&Johnson,0
Finland,2021-07-23,Moderna,498769
Finland,2021-07-23,Oxford/AstraZeneca,548738
Finland,2021-07-23,Pfizer/BioNTech,4272949
Finland,2021-07-30,Johnson&Johnson,0
Finland,2021-07-30,Moderna,535399
Finland,2021-07-30,Oxford/AstraZeneca,551560
Finland,2021-07-30,Pfizer/BioNTech,4498320
Finland,2021-08-06,Johnson&Johnson,0
Finland,2021-08-06,Moderna,579483
Finland,2021-08-06,Oxford/AstraZeneca,552276
Finland,2021-08-06,Pfizer/BioNTech,4708114
Finland,2021-08-13,Johnson&Johnson,0
Finland,2021-08-13,Moderna,620625
Finland,2021-08-13,Oxford/AstraZeneca,552473
Finland,2021-08-13,Pfizer/BioNTech,4925720
Finland,2021-08-20,Johnson&Johnson,0
Finland,2021-08-20,Moderna,635107
Finland,2021-08-20,Oxford/AstraZeneca,552509
Finland,2021-08-20,Pfizer/BioNTech,5007163
