location,date,vaccine,total_vaccinations
Spain,2021-01-08,Johnson&Johnson,0
Spain,2021-01-08,Moderna,0
Spain,2021-01-08,Oxford/AstraZeneca,0
Spain,2021-01-08,Pfizer/BioNTech,419566
Spain,2021-01-15,Johnson&Johnson,0
Spain,2021-01-15,Moderna,7243
Spain,2021-01-15,Oxford/AstraZeneca,0
Spain,2021-01-15,Pfizer/BioNTech,920012
Spain,2021-01-22,Johnson&Johnson,0
Spain,2021-01-22,Moderna,25654
Spain,2021-01-22,Oxford/AstraZeneca,0
Spain,2021-01-22,Pfizer/BioNTech,1242318
Spain,2021-01-29,Johnson&Johnson,0
Spain,2021-01-29,Moderna,29547
Spain,2021-01-29,Oxford/AstraZeneca,0
Spain,2021-01-29,Pfizer/BioNTech,1613154
Spain,2021-02-05,Johnson&Johnson,0
Spain,2021-02-05,Moderna,49785
Spain,2021-02-05,Oxford/AstraZeneca,0
Spain,2021-02-05,Pfizer/BioNTech,2110982
Spain,2021-02-12,Johnson&Johnson,0
Spain,2021-02-12,Moderna,98910
Spain,2021-02-12,Oxford/AstraZeneca,34823
Spain,2021-02-12,Pfizer/BioNTech,2504991
Spain,2021-02-19,Johnson&Johnson,0
Spain,2021-02-19,Moderna,138751
Spain,2021-02-19,Oxford/AstraZeneca,133267
Spain,2021-02-19,Pfizer/BioNTech,2889689
Spain,2021-02-26,Johnson&Johnson,0
Spain,2021-02-26,Moderna,152703
Spain,2021-02-26,Oxford/AstraZeneca,379535
Spain,2021-02-26,Pfizer/BioNTech,3395422
Spain,2021-03-05,Johnson&Johnson,0
Spain,2021-03-05,Moderna,199965
Spain,2021-03-05,Oxford/AstraZeneca,675539
Spain,2021-03-05,Pfizer/BioNTech,3957964
Spain,2021-03-12,Johnson&Johnson,0
Spain,2021-03-12,Moderna,257723
Spain,2021-03-12,Oxford/AstraZeneca,979304
Spain,2021-03-12,Pfizer/BioNTech,4524227
Spain,2021-03-19,Johnson&Johnson,0
Spain,2021-03-19,Moderna,344918
Spain,2021-03-19,Oxford/AstraZeneca,1016714
Spain,2021-03-19,Pfizer/BioNTech,5091362
Spain,2021-03-26,Johnson&Johnson,0
Spain,2021-03-26,Moderna,445965
Spain,2021-03-26,Oxford/AstraZeneca,1443886
Spain,2021-03-26,Pfizer/BioNTech,5787599
Spain,2021-04-02,Johnson&Johnson,0
Spain,2021-04-02,Moderna,548334
Spain,2021-04-02,Oxford/AstraZeneca,1959376
Spain,2021-04-02,Pfizer/BioNTech,6459732
Spain,2021-04-09,Johnson&Johnson,0
Spain,2021-04-09,Moderna,617823
Spain,2021-04-09,Oxford/AstraZeneca,2658697
Spain,2021-04-09,Pfizer/BioNTech,7691990
Spain,2021-04-16,Johnson&Johnson,0
Spain,2021-04-16,Moderna,791721
Spain,2021-04-16,Oxford/AstraZeneca,3193915
Spain,2021-04-16,Pfizer/BioNTech,8978528
Spain,2021-04-23,Johnson&Johnson,33940
Spain,2021-04-23,Moderna,962758
Spain,2021-04-23,Oxford/AstraZeneca,3591504
Spain,2021-04-23,Pfizer/BioNTech,10258634
Spain,2021-04-30,Johnson&Johnson,132063
Spain,2021-04-30,Moderna,1125295
Spain,2021-04-30,Oxford/AstraZeneca,3983618
Spain,2021-04-30,Pfizer/BioNTech,12028250
Spain,2021-05-07,Johnson&Johnson,192991
Spain,2021-05-07,Moderna,1337631
Spain,2021-05-07,Oxford/AstraZeneca,4619912
Spain,2021-05-07,Pfizer/BioNTech,13794278
Spain,2021-05-14,Johnson&Johnson,227403
Spain,2021-05-14,Moderna,1780141
Spain,2021-05-14,Oxford/AstraZeneca,4857243
Spain,2021-05-14,Pfizer/BioNTech,15561037
Spain,2021-05-21,Johnson&Johnson,325014
Spain,2021-05-21,Moderna,2147980
Spain,2021-05-21,Oxford/AstraZeneca,4967911
Spain,2021-05-21,Pfizer/BioNTech,17321477
Spain,2021-05-28,Johnson&Johnson,440749
Spain,2021-05-28,Moderna,2485941
Spain,2021-05-28,Oxford/AstraZeneca,5144686
Spain,2021-05-28,Pfizer/BioNTech,18958058
Spain,2021-06-04,Johnson&Johnson,627395
Spain,2021-06-04,Moderna,2753960
Spain,2021-06-04,Oxford/AstraZeneca,5516858
Spain,2021-06-04,Pfizer/BioNTech,21075036
Spain,2021-06-11,Johnson&Johnson,858364
Spain,2021-06-11,Moderna,3142882
Spain,2021-06-11,Oxford/AstraZeneca,5831903
Spain,2021-06-11,Pfizer/BioNTech,23491271
Spain,2021-06-18,Johnson&Johnson,1054912
Spain,2021-06-18,Moderna,3496398
Spain,2021-06-18,Oxford/AstraZeneca,6198875
Spain,2021-06-18,Pfizer/BioNTech,25819472
Spain,2021-06-25,Johnson&Johnson,1218723
Spain,2021-06-25,Moderna,3795213
Spain,2021-06-25,Oxford/AstraZeneca,6941379
Spain,2021-06-25,Pfizer/BioNTech,28287990
Spain,2021-07-02,Johnson&Johnson,1357698
Spain,2021-07-02,Moderna,4071602
Spain,2021-07-02,Oxford/AstraZeneca,7739765
Spain,2021-07-02,Pfizer/BioNTech,31042357
Spain,2021-07-09,Johnson&Johnson,1492299
Spain,2021-07-09,Moderna,4449456
Spain,2021-07-09,Oxford/AstraZeneca,8575637
Spain,2021-07-09,Pfizer/BioNTech,33394204
Spain,2021-07-16,Johnson&Johnson,1633066
Spain,2021-07-16,Moderna,4995852
Spain,2021-07-16,Oxford/AstraZeneca,9115693
Spain,2021-07-16,Pfizer/BioNTech,35412840
Spain,2021-07-23,Johnson&Johnson,1768809
Spain,2021-07-23,Moderna,5501190
Spain,2021-07-23,Oxford/AstraZeneca,9419439
Spain,2021-07-23,Pfizer/BioNTech,37350532
Spain,2021-07-30,Johnson&Johnson,1824238
Spain,2021-07-30,Moderna,5981187
Spain,2021-07-30,Oxford/AstraZeneca,9585669
Spain,2021-07-30,Pfizer/BioNTech,39028029
Spain,2021-08-06,Johnson&Johnson,1866400
Spain,2021-08-06,Moderna,6420367
Spain,2021-08-06,Oxford/AstraZeneca,9652024
Spain,2021-08-06,Pfizer/BioNTech,40445604
Spain,2021-08-13,Johnson&Johnson,1896900
Spain,2021-08-13,Moderna,6858860
Spain,2021-08-13,Oxford/AstraZeneca,9686771
Spain,2021-08-13,Pfizer/BioNTech,41701272
Spain,2021-08-20,Johnson&Johnson,1902392
Spain,2021-08-20,Moderna,7002773
Spain,2021-08-20,Oxford/AstraZeneca,9693347
Spain,2021-08-20,Pfizer/BioNTech,42085092
